netH,netCharge,molW,kyleD,a_a,c_c,d_d,e_e,f_f,g_g,h_h,i_i,k_k,l_l,m_m,n_n,p_p,q_q,r_r,s_s,t_t,v_v,w_w,y_y,tiny,small,large,aliphatic,aromatic,total_charged,negative_charged,positive_charged,polar,neutral,hydrophobic,label
23,-4,4173.45,-0.17428571,0.08571429,0,0.08571429,0.11428571,0,0.08571429,0,0.05714286,0.05714286,0.2,0,0.05714286,0.05714286,0,0.02857143,0.08571429,0.02857143,0.02857143,0,0,0.37142857,0.57142857,0.02857143,0.28571429,0,0.28571429,0.2,0.08571429,0.34285714,0.34285714,0.28571429,antiviral_peptide
25,-2,4290.7,-0.12,0.08571429,0,0.05714286,0.11428571,0,0.08571429,0.02857143,0.08571429,0.05714286,0.2,0,0.05714286,0.05714286,0,0.05714286,0.02857143,0.02857143,0.02857143,0,0,0.28571429,0.62857143,0.05714286,0.31428571,0.02857143,0.31428571,0.17142857,0.14285714,0.34285714,0.31428571,0.31428571,antiviral_peptide
22,-3,4171.52,0.05428571,0.08571429,0,0.05714286,0.11428571,0,0.08571429,0,0.08571429,0.05714286,0.2,0,0.05714286,0.05714286,0,0.02857143,0.08571429,0.02857143,0.02857143,0,0,0.34285714,0.6,0.02857143,0.31428571,0,0.25714286,0.17142857,0.08571429,0.31428571,0.34285714,0.31428571,antiviral_peptide
30,-1,4350.77,-0.25714286,0.08571429,0,0.05714286,0.11428571,0,0.05714286,0,0.05714286,0.08571429,0.2,0.02857143,0.05714286,0,0.02857143,0.05714286,0.08571429,0.02857143,0.02857143,0,0,0.31428571,0.6,0.05714286,0.28571429,0,0.31428571,0.17142857,0.14285714,0.4,0.25714286,0.31428571,antiviral_peptide
24,-3,4186.5,-0.17428571,0.08571429,0,0.05714286,0.11428571,0,0.08571429,0,0.05714286,0.05714286,0.2,0,0.05714286,0.05714286,0.02857143,0.02857143,0.08571429,0.02857143,0.02857143,0,0,0.34285714,0.6,0.02857143,0.28571429,0,0.25714286,0.17142857,0.08571429,0.34285714,0.34285714,0.28571429,antiviral_peptide
24,-1,4274.74,0.08857143,0.08571429,0,0.05714286,0.08571429,0,0.08571429,0.02857143,0.08571429,0.05714286,0.22857143,0,0.05714286,0.05714286,0,0.05714286,0.02857143,0.02857143,0.02857143,0,0,0.28571429,0.62857143,0.05714286,0.34285714,0.02857143,0.28571429,0.14285714,0.14285714,0.31428571,0.31428571,0.34285714,antiviral_peptide
28,-2,4301.67,-0.11714286,0.08571429,0,0.05714286,0.11428571,0,0.05714286,0,0.08571429,0.05714286,0.2,0,0.05714286,0.02857143,0.02857143,0.05714286,0.08571429,0.02857143,0.02857143,0,0,0.31428571,0.6,0.05714286,0.31428571,0,0.28571429,0.17142857,0.11428571,0.37142857,0.28571429,0.31428571,antiviral_peptide
24,-3,4242.6,-0.03428571,0.08571429,0,0.05714286,0.11428571,0,0.05714286,0,0.08571429,0.05714286,0.2,0,0.05714286,0.05714286,0.02857143,0.02857143,0.08571429,0.02857143,0.02857143,0,0,0.31428571,0.62857143,0.02857143,0.31428571,0,0.25714286,0.17142857,0.08571429,0.34285714,0.31428571,0.31428571,antiviral_peptide
25,-2,4240.63,-0.05142857,0.08571429,0,0.05714286,0.11428571,0,0.08571429,0,0.08571429,0.05714286,0.2,0,0.05714286,0.05714286,0,0.05714286,0.05714286,0.02857143,0.02857143,0,0,0.31428571,0.6,0.05714286,0.31428571,0,0.28571429,0.17142857,0.11428571,0.34285714,0.31428571,0.31428571,antiviral_peptide
29,-2,4309.67,-0.16857143,0.08571429,0,0.05714286,0.11428571,0,0.05714286,0,0.05714286,0.05714286,0.2,0.02857143,0.05714286,0,0.02857143,0.05714286,0.11428571,0.02857143,0.02857143,0,0,0.34285714,0.57142857,0.05714286,0.28571429,0,0.28571429,0.17142857,0.11428571,0.37142857,0.28571429,0.31428571,antiviral_peptide
26,2,4095.54,0.24117647,0.05882353,0,0.05882353,0,0,0.02941177,0,0.02941177,0.11764706,0.17647059,0,0.08823529,0,0.02941177,0,0.14705882,0.05882353,0.14705882,0,0.02941177,0.35294118,0.58823529,0.02941177,0.35294118,0.02941177,0.17647059,0.05882353,0.11764706,0.29411765,0.32352941,0.35294118,antiviral_peptide
21,1,3953.4,0.6,0.08823529,0,0,0.05882353,0,0.05882353,0.02941177,0.02941177,0.08823529,0.14705882,0,0.08823529,0,0,0,0.14705882,0.02941177,0.20588235,0,0,0.32352941,0.64705882,0,0.38235294,0.02941177,0.17647059,0.05882353,0.11764706,0.23529412,0.35294118,0.38235294,antiviral_peptide
25,2,4031.5,0.40294118,0.05882353,0,0.02941177,0.02941177,0,0.02941177,0,0.02941177,0.11764706,0.17647059,0,0.11764706,0,0,0,0.14705882,0.05882353,0.17647059,0,0,0.32352941,0.64705882,0,0.38235294,0,0.17647059,0.05882353,0.11764706,0.29411765,0.29411765,0.38235294,antiviral_peptide
23,2,3974.45,0.49411765,0.05882353,0,0.02941177,0.02941177,0,0.05882353,0,0.02941177,0.11764706,0.17647059,0,0.08823529,0,0,0,0.14705882,0.05882353,0.17647059,0,0,0.35294118,0.61764706,0,0.38235294,0,0.17647059,0.05882353,0.11764706,0.26470588,0.32352941,0.38235294,antiviral_peptide
24,2,4080.56,0.47647059,0.05882353,0,0.05882353,0,0,0.02941177,0,0.05882353,0.11764706,0.17647059,0,0.08823529,0,0,0,0.14705882,0.05882353,0.14705882,0,0.02941177,0.35294118,0.58823529,0.02941177,0.38235294,0.02941177,0.17647059,0.05882353,0.11764706,0.26470588,0.32352941,0.38235294,antiviral_peptide
24,2,4080.56,0.47647059,0.05882353,0,0.05882353,0,0,0.02941177,0,0.05882353,0.11764706,0.17647059,0,0.08823529,0,0,0,0.14705882,0.05882353,0.14705882,0,0.02941177,0.35294118,0.58823529,0.02941177,0.38235294,0.02941177,0.17647059,0.05882353,0.11764706,0.26470588,0.32352941,0.38235294,antiviral_peptide
22,0,3975.39,0.50588235,0.05882353,0,0.02941177,0.05882353,0,0.05882353,0,0.02941177,0.08823529,0.17647059,0,0.08823529,0,0,0,0.14705882,0.05882353,0.17647059,0,0,0.35294118,0.61764706,0,0.38235294,0,0.17647059,0.08823529,0.08823529,0.26470588,0.32352941,0.38235294,antiviral_peptide
25,3,4079.58,0.47647059,0.05882353,0,0.02941177,0,0,0.02941177,0,0.05882353,0.11764706,0.17647059,0,0.11764706,0,0,0,0.14705882,0.05882353,0.14705882,0,0.02941177,0.32352941,0.61764706,0.02941177,0.38235294,0.02941177,0.14705882,0.02941177,0.11764706,0.26470588,0.32352941,0.38235294,antiviral_peptide
22,1,3997.45,0.51470588,0.05882353,0,0,0.05882353,0,0.05882353,0.02941177,0.02941177,0.08823529,0.17647059,0,0.08823529,0,0,0,0.14705882,0.05882353,0.17647059,0,0,0.32352941,0.64705882,0,0.38235294,0.02941177,0.17647059,0.05882353,0.11764706,0.23529412,0.35294118,0.38235294,antiviral_peptide
21,1,3953.4,0.6,0.08823529,0,0,0.05882353,0,0.05882353,0.02941177,0.02941177,0.08823529,0.14705882,0,0.08823529,0,0,0,0.14705882,0.02941177,0.20588235,0,0,0.32352941,0.64705882,0,0.38235294,0.02941177,0.17647059,0.05882353,0.11764706,0.23529412,0.35294118,0.38235294,antiviral_peptide
25,3,4065.56,0.46764706,0.05882353,0,0.02941177,0,0,0.02941177,0,0.02941177,0.11764706,0.17647059,0,0.11764706,0,0,0,0.14705882,0.05882353,0.17647059,0,0.02941177,0.32352941,0.61764706,0.02941177,0.38235294,0.02941177,0.14705882,0.02941177,0.11764706,0.26470588,0.32352941,0.38235294,antiviral_peptide
21,1,3995.48,0.65882353,0.05882353,0,0,0.05882353,0,0.05882353,0.02941177,0.02941177,0.08823529,0.17647059,0,0.08823529,0,0,0,0.14705882,0.02941177,0.20588235,0,0,0.29411765,0.67647059,0,0.41176471,0.02941177,0.17647059,0.05882353,0.11764706,0.23529412,0.32352941,0.41176471,antiviral_peptide
36,-4,4894.3,-0.88611111,0.05555556,0,0.02777778,0.19444444,0.02777778,0,0,0.05555556,0.08333333,0.13888889,0.02777778,0.08333333,0,0.11111111,0.02777778,0.02777778,0.02777778,0.02777778,0.02777778,0.02777778,0.13888889,0.72222222,0.11111111,0.22222222,0.08333333,0.33333333,0.22222222,0.11111111,0.52777778,0.13888889,0.30555556,antiviral_peptide
36,-5,4936.34,-0.96111111,0.05555556,0,0.02777778,0.22222222,0.02777778,0,0,0.05555556,0.08333333,0.13888889,0.02777778,0.08333333,0,0.11111111,0.02777778,0,0.02777778,0.02777778,0.02777778,0.02777778,0.11111111,0.75,0.11111111,0.22222222,0.08333333,0.36111111,0.25,0.11111111,0.55555556,0.11111111,0.30555556,antiviral_peptide
31,-5,4799.16,-0.58611111,0.05555556,0,0.02777778,0.16666667,0.05555556,0.02777778,0,0.05555556,0.05555556,0.13888889,0.02777778,0.11111111,0,0.11111111,0,0.02777778,0.02777778,0.02777778,0.02777778,0.02777778,0.16666667,0.69444444,0.11111111,0.22222222,0.11111111,0.25,0.19444444,0.05555556,0.47222222,0.16666667,0.33333333,antiviral_peptide
32,-5,4823.22,-0.64444444,0.05555556,0,0.05555556,0.16666667,0.02777778,0,0,0.05555556,0.08333333,0.13888889,0.02777778,0.08333333,0,0.11111111,0,0.02777778,0.02777778,0.05555556,0.02777778,0.02777778,0.16666667,0.72222222,0.08333333,0.25,0.08333333,0.30555556,0.22222222,0.08333333,0.5,0.13888889,0.33333333,antiviral_peptide
36,-5,4950.37,-0.96111111,0.05555556,0,0.02777778,0.22222222,0.02777778,0,0,0.05555556,0.08333333,0.13888889,0.02777778,0.05555556,0,0.13888889,0.02777778,0,0.02777778,0.02777778,0.02777778,0.02777778,0.11111111,0.75,0.11111111,0.22222222,0.08333333,0.36111111,0.25,0.11111111,0.55555556,0.11111111,0.30555556,antiviral_peptide
36,-4,4880.27,-0.88611111,0.05555556,0,0.05555556,0.16666667,0.02777778,0,0,0.05555556,0.08333333,0.13888889,0.02777778,0.08333333,0,0.11111111,0.02777778,0.02777778,0.02777778,0.02777778,0.02777778,0.02777778,0.16666667,0.69444444,0.11111111,0.22222222,0.08333333,0.33333333,0.22222222,0.11111111,0.52777778,0.13888889,0.30555556,antiviral_peptide
30,-6,4842.22,-0.45833333,0.05555556,0,0.05555556,0.16666667,0.05555556,0,0,0.05555556,0.05555556,0.13888889,0.02777778,0.08333333,0,0.11111111,0,0.02777778,0.02777778,0.05555556,0.02777778,0.02777778,0.16666667,0.69444444,0.11111111,0.25,0.11111111,0.27777778,0.22222222,0.05555556,0.47222222,0.13888889,0.36111111,antiviral_peptide
36,-4,4894.3,-0.88611111,0.05555556,0,0.02777778,0.19444444,0.02777778,0,0,0.05555556,0.08333333,0.13888889,0.02777778,0.08333333,0,0.11111111,0.02777778,0.02777778,0.02777778,0.02777778,0.02777778,0.02777778,0.13888889,0.72222222,0.11111111,0.22222222,0.08333333,0.33333333,0.22222222,0.11111111,0.52777778,0.13888889,0.30555556,antiviral_peptide
37,-5,5023.44,-1.09166667,0.05555556,0,0.02777778,0.22222222,0.02777778,0,0,0.05555556,0.08333333,0.11111111,0.02777778,0.05555556,0,0.13888889,0.02777778,0,0.02777778,0.02777778,0.05555556,0.02777778,0.11111111,0.72222222,0.13888889,0.19444444,0.11111111,0.36111111,0.25,0.11111111,0.55555556,0.11111111,0.30555556,antiviral_peptide
